File,!District,district,ministryServiceArea,name,startDate,endDate,id
ServiceArea,Vancouver Island,rg:{ 'id': '200001'},1,South Island,1/1/2009,rg:None,200000
ServiceArea,Vancouver Island,rg:{ 'id': '200001'},2,Central  Island,1/1/2009,rg:None,200001
ServiceArea,Vancouver Island,rg:{ 'id': '200001'},3,North  Island,1/1/2009,rg:None,200002
ServiceArea,Lower Mainland,rg:{ 'id': '200000'},4,Howe Sound,1/1/2009,rg:None,200003
ServiceArea,Lower Mainland,rg:{ 'id': '200000'},5,Sunshine Coast,1/1/2009,rg:None,200004
ServiceArea,Lower Mainland,rg:{ 'id': '200000'},6,Lower Mainland,1/1/2009,rg:None,200005
ServiceArea,Lower Mainland,rg:{ 'id': '200000'},7,Fraser Valley,1/1/2009,rg:None,200006
ServiceArea,Okanagan-Shuswap,rg:{ 'id': '200004'},8,South Okanagan,1/1/2009,rg:None,200007
ServiceArea,West Kootenay,rg:{ 'id': '200003'},9,Kootenay Boundary,1/1/2009,rg:None,200008
ServiceArea,West Kootenay,rg:{ 'id': '200003'},10,Central Kootenay,1/1/2009,rg:None,200009
ServiceArea,Rocky Mountain,rg:{ 'id': '200002'},11,East Kootenay,1/1/2009,rg:None,200010
ServiceArea,Rocky Mountain,rg:{ 'id': '200002'},12,Selkirk,1/1/2009,rg:None,200011
ServiceArea,Okanagan-Shuswap,rg:{ 'id': '200004'},13,Okanagan - Shuswap,1/1/2009,rg:None,200012
ServiceArea,Thompson-Nicola,rg:{ 'id': '200005'},14,Nicola,1/1/2009,rg:None,200013
ServiceArea,Thompson-Nicola,rg:{ 'id': '200005'},15,Thompson,1/1/2009,rg:None,200014
ServiceArea,Cariboo,rg:{ 'id': '200006'},16,South Cariboo,1/1/2009,rg:None,200015
ServiceArea,Cariboo,rg:{ 'id': '200006'},17,Central Cariboo,1/1/2009,rg:None,200016
ServiceArea,Cariboo,rg:{ 'id': '200006'},18,North Cariboo,1/1/2009,rg:None,200017
ServiceArea,Fort George,rg:{ 'id': '200008'},19,Fort George,1/1/2009,rg:None,200018
ServiceArea,Fort George,rg:{ 'id': '200008'},20,Robson,1/1/2009,rg:None,200019
ServiceArea,Peace,rg:{ 'id': '200007'},21,South Peace,1/1/2009,rg:None,200020
ServiceArea,Peace,rg:{ 'id': '200007'},22,North Peace,1/1/2009,rg:None,200021
ServiceArea,Fort George,rg:{ 'id': '200008'},23,Nechako,1/1/2009,rg:None,200022
ServiceArea,Bulkley-Stikine,rg:{ 'id': '200009'},24,Lakes,1/1/2009,rg:None,200023
ServiceArea,Bulkley-Stikine,rg:{ 'id': '200009'},25,Bulkley - Nass,1/1/2009,rg:None,200024
ServiceArea,Skeena,rg:{ 'id': '200010'},26,Skeena,1/1/2009,rg:None,200025
ServiceArea,Skeena,rg:{ 'id': '200010'},27,North Coast,1/1/2009,rg:None,200026
ServiceArea,Bulkley-Stikine,rg:{ 'id': '200009'},28,Stikine,1/1/2009,rg:None,200027
ServiceArea,NON-BC,rg:{ 'id': '200011'},99,NON-BC,1/1/2009,rg:None,200028
ServiceArea,Unknown,rg:{ 'id': '200012'},999,Unknown,1/1/2009,rg:None,200029
